,OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd,FID_Market_Cluster_Union,FID_Market_Cluster,Market_Cluster_ID,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST. JOHN'S,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,Carol_Estates,Duck_Pond,EastGNV,EastMidtownEastA,Florida_Park,Gainesvilleish_Region,Golfview,HSBUI_2,Haile_Like,Hawthorne,Hickory_Forest,HighSpringsA,HighSpringsAGNV,HighSpringsAGNVSouth,HighSpringsB,High_Springs,High_Springs_Main,Highland,Jonesville,Kanapaha,Lincoln_Estates,Lugano,Metcalf,MidtownEast_A,MidtownEast_B,MidtownEast_C,Montery,Newnans_Lake,QuailCreek,Rural_North,Rural_South,San_Felasco,Sorrento,Split_Rock,Springtree,SummerCreek,Sweetwater,TC_Forest,Tioga,Tioga_A,Tioga_B,Turkey_Creek,Valwood,Waldo,WaldoRural,Westchester,WildsPlantation,swNewberry_A,swNewberry_B,landiness,in_subdivision,percent_good,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,sale_ratio,Assessment_Val
505,506,1,506,24507,0.25,1040,1.0,ARCHER,197000,2012,100,1040.0,1997,2025,0,-82.52132808999998,29.54781536,04696-010-012,0,0.0,0,12,27,0,0,2,3183,216209.02,2,1.0,5.0,Archer,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8525954943729924,True,0.88,12.08645239016777,177451.4607909381,180634.4607909381,0.9169261969083151,164267.0
506,507,1,507,24967,0.4,1300,1.0,ARCHER,215000,1995,100,1300.0,1994,2025,0,-82.52241103999998,29.5279888,04890-000-000,0,72.0,0,29,30,0,0,2,337,216216.01,1,1.0,5.0,Archer,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.3641527909967879,True,0.71,12.084628908052371,177128.17606736947,177465.17606736947,0.8254194235691603,182413.0
510,511,1,511,25171,0.49,1277,1.0,ARCHER,226000,1995,100,1277.0,1967,2025,0,-82.52097009,29.52676067,04962-007-000,0,0.0,0,29,57,0,0,1,5460,216216.02,1,1.0,5.0,Archer,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.6710871689710651,True,0.71,12.030313451106492,167763.99030808426,173223.99030808426,0.7664778332216118,186640.0
511,512,1,512,25188,0.32,925,1.0,ARCHER,179000,2003,100,925.0,1965,2025,0,-82.52097336999998,29.52436478,04965-001-010,0,108.0,0,21,59,0,0,1,0,216216.01,1,1.0,5.0,Archer,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0913222327974303,True,0.79,11.930240882400508,151788.12036261393,151788.12036261393,0.8479783260481225,152150.0
512,513,1,513,25210,0.2,1256,1.0,ARCHER,179900,1995,100,1256.0,1977,2025,0,-82.51751466,29.52291661,04969-002-002,0,0.0,0,29,47,0,0,2,178,216216.01,1,1.0,5.0,Archer,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6820763954983939,True,0.71,11.996880177346663,162247.81658079935,162425.81658079935,0.9028672405825422,152737.0
513,514,1,514,39253,0.32,1517,1.0,GAINESVILLE,260000,1995,100,1517.0,1972,2025,0,-82.37102142,29.69893813,06083-013-021,0,0.0,0,29,52,0,0,2,2558,154324.05,1,33.0,45.0,Springtree,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0913222327974303,True,0.71,12.348164688530261,230536.54800639633,233094.54800639633,0.8965174923322936,218442.0
515,516,1,516,39315,0.28,1602,1.0,GAINESVILLE,298500,1995,100,1602.0,1973,2025,0,-82.37040743999998,29.69888794,06083-013-083,0,36.0,420,29,51,0,0,2,556,154324.05,1,33.0,45.0,Springtree,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9549069536977517,True,0.71,12.475339346546779,261800.84144981112,262356.8414498111,0.8789173917916621,253169.00000000003
516,517,1,517,39401,0.49,2012,1.1624432,GAINESVILLE,555000,2000,100,2012.0,1994,2025,0,-82.36314731,29.68025974,06087-050-061,0,321.0,484,24,30,0,0,2,17871,134325.02,1,33.0,45.0,Springtree,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.6710871689710651,True,0.76,12.792975870447846,359682.10204815556,377553.10204815556,0.6802758595462263,453879.0
517,518,1,518,39560,0.11,1416,1.0,GAINESVILLE,285000,1999,100,708.0,1999,2025,0,-82.35878072,29.68625333,06091-010-025,708,30.0,286,25,25,0,0,2,2038,134325.07,1,33.0,45.0,Springtree,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3751420175241167,True,0.75,12.379628388436657,237905.398522692,239943.398522692,0.8419066614831299,240211.99999999997
518,519,1,519,39579,0.12,1148,1.0,GAINESVILLE,265000,1998,100,1148.0,1998,2025,0,-82.35893839,29.68768087,06091-010-044,0,42.0,370,26,26,0,0,2,336,134325.07,2,33.0,45.0,Springtree,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.40924583729903635,True,0.74,12.262254318889472,211557.96770295498,211893.96770295498,0.7995998781243584,224914.0
519,520,1,520,39589,0.15,1365,1.0,GAINESVILLE,285000,2000,100,1365.0,2000,2025,0,-82.35957297999998,29.68498162,06091-020-054,0,30.0,220,24,24,0,0,2,358,134325.07,1,33.0,45.0,Springtree,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5115572966237955,True,0.76,12.38815981906775,239943.7546102156,240301.7546102156,0.8431640512639144,241891.99999999997
520,521,1,521,39592,0.2,1376,1.0,GAINESVILLE,300000,2001,100,1376.0,2001,2025,0,-82.35970459,29.68475525,06091-020-057,0,30.0,209,23,23,0,0,2,1300,134325.07,1,33.0,45.0,Springtree,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6820763954983939,True,0.77,12.42313260816069,248483.71971832291,249783.71971832291,0.8326123990610764,253699.99999999997
521,522,1,522,39622,0.1,1318,1.0,GAINESVILLE,299900,2008,100,1318.0,2001,2025,0,-82.35867389,29.68250353,06091-020-087,0,20.0,182,16,23,0,0,2,498,134325.07,2,33.0,45.0,Springtree,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.34103819774919697,True,0.84,12.419077318605092,247478.08672965795,247976.08672965795,0.8268625766244013,254416.99999999997
522,523,1,523,39636,0.12,1248,1.0,GAINESVILLE,280000,2000,100,1248.0,2000,2025,0,-82.35879828,29.68480679,06091-020-101,0,20.0,252,24,24,0,0,2,2706,134325.07,1,33.0,45.0,Springtree,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.40924583729903635,True,0.76,12.322428719962334,224679.16269019112,227385.16269019112,0.8120898667506826,235294.0
523,524,1,524,39673,0.09,1409,1.0,GAINESVILLE,275000,2004,100,1409.0,2004,2025,0,-82.36153856999998,29.68768594,06091-100-027,0,100.0,308,20,20,0,0,2,584,134325.13,1,33.0,45.0,Springtree,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.30693437797427725,True,0.8,12.423165154245037,248491.80702202796,249075.80702202796,0.9057302073528289,233166.0
524,525,1,525,39697,0.1,1240,1.0,GAINESVILLE,263000,2005,100,1240.0,2005,2025,0,-82.36059299,29.68744296,06091-100-051,0,184.0,280,19,19,0,0,2,720,134325.13,1,33.0,45.0,Springtree,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.34103819774919697,True,0.81,12.37073923608095,235799.9926891492,236519.9926891492,0.8993155615557004,222830.0
525,526,1,526,39712,0.1,1536,1.0,GAINESVILLE,288000,2004,100,1536.0,2004,2025,0,-82.36007404,29.68745249,06091-100-066,0,80.0,400,20,20,0,0,2,3638,134325.13,1,33.0,45.0,Springtree,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.34103819774919697,True,0.8,12.481819776842322,263502.9327393758,267140.9327393758,0.9275726831228326,241162.0
529,530,1,530,39866,0.55,1946,1.1624432,GAINESVILLE,475000,2014,100,980.0,1994,2025,0,-82.37133600999998,29.68670981,06092-060-004,966,398.0,462,10,30,0,0,2,4800,134325.03,2,27.0,38.0,MidtownEast_B,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.8757100876205837,True,0.9,12.985747926459478,436152.80296977394,440952.80296977394,0.928321690462682,398950.0
531,532,1,532,39982,0.27,2413,1.0,GAINESVILLE,340000,1995,100,2143.0,1967,2025,0,-82.37200045,29.67607693,06095-009-007,0,382.0,551,29,57,0,0,2,6220,134325.31,1,27.0,38.0,MidtownEast_B,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.920803133922832,True,0.71,12.778565231475056,354536.02134157193,360756.02134157193,1.0610471215928585,282780.0
532,533,1,533,39989,0.41,1909,1.0,GAINESVILLE,352900,1995,100,1909.0,1968,2025,0,-82.37073119999998,29.67490114,06095-010-002,0,0.0,621,29,56,0,0,2,9990,134325.31,1,27.0,38.0,MidtownEast_B,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.3982566107717076,True,0.71,12.65140310694593,312201.192569582,322191.192569582,0.9129815601291641,289975.0
533,534,1,534,40042,0.35,1949,1.0,GAINESVILLE,402000,2010,100,1949.0,1974,2025,0,-82.36838609999998,29.67717617,06095-020-032,0,12.0,594,14,50,0,0,2,9233,134325.01,1,27.0,38.0,MidtownEast_B,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.1936336921221893,True,0.86,12.823242799438775,370734.9995503251,379967.9995503251,0.945194028732152,332467.0
534,535,1,535,40099,0.91,3608,1.0,GAINESVILLE,650000,1995,100,2258.0,1967,2025,0,-82.36646525,29.67884447,06096-033-000,1350,819.0,783,29,57,0,0,4,14820,134325.0,1,27.0,38.0,MidtownEast_B,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.1034475995176924,False,0.71,13.123420343415969,500528.762398535,515348.762398535,0.7928442498439,537680.0
535,536,1,536,40174,0.32,2444,1.0,GAINESVILLE,410000,1995,100,2444.0,1973,2025,0,-82.36324689999998,29.68281446,06098-010-023,0,366.0,338,29,51,0,0,2,15468,154325.35,1,33.0,45.0,Springtree,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0913222327974303,True,0.71,12.72870758133096,337293.1057533135,352761.1057533135,0.8603929408617403,333032.0
536,537,1,537,40325,0.91,2682,1.0,GAINESVILLE,435000,1995,100,2682.0,1970,2025,0,-82.37783039,29.68825906,06102-027-000,0,80.0,484,29,54,0,0,2,4604,114326.07,1,27.0,38.0,MidtownEast_B,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.1034475995176924,False,0.71,12.861387818762024,385149.8732783192,389753.8732783192,0.895985915582343,365146.0
537,538,1,538,40336,0.98,1667,1.0,GAINESVILLE,433000,1995,100,1667.0,1964,2025,0,-82.37865746,29.6882629,06102-038-000,0,329.0,0,29,60,0,0,2,42274,114326.07,2,27.0,38.0,MidtownEast_B,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.3421743379421303,False,0.71,12.514840609877302,272349.2720272568,314623.2720272568,0.7266126374763436,325776.0
538,539,1,539,40376,0.33,2022,1.0,GAINESVILLE,385000,1995,100,2022.0,1975,2025,0,-82.38324378999998,29.68298352,06102-075-030,0,0.0,548,29,49,0,0,2,3172,114326.05,1,15.0,25.0,Montery,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.12542605257235,True,0.71,12.648369296121142,311255.4685113664,314427.4685113664,0.8166947234061465,324078.0
540,541,1,541,40408,0.5,2702,1.0,GAINESVILLE,425000,1995,100,2702.0,1975,2025,0,-82.38073267,29.68022381,06102-075-062,0,54.0,552,29,49,0,0,4,19970,114326.05,1,15.0,25.0,Montery,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.7051909887459848,True,0.71,12.936669449667082,415263.87879696605,435233.87879696605,1.0240797148163907,341280.0
541,542,1,542,40412,0.96,2445,1.0,GAINESVILLE,449900,2003,100,2445.0,1979,2025,0,-82.37972883,29.68078043,06102-075-066,0,33.0,474,21,45,0,0,2,11590,114326.05,1,15.0,25.0,Montery,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.273966698392291,True,0.79,12.9334029339348,413909.62585227255,425499.62585227255,0.9457648940926262,370825.0
543,544,1,544,40513,0.35,1929,1.0,GAINESVILLE,410000,1995,100,1929.0,1973,2025,0,-82.38246123,29.68693533,06103-010-028,0,16.0,511,29,51,0,0,2,8014,114326.05,1,15.0,25.0,Montery,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.1936336921221893,True,0.71,12.638010731134019,308047.9498389778,316061.9498389778,0.7708828044853117,340486.0
545,546,1,546,40585,0.35,1680,1.0,GAINESVILLE,310000,1995,100,1680.0,1964,2025,0,-82.37271526,29.68631763,06104-002-000,0,124.0,448,29,60,0,0,2,8184,114326.04,1,27.0,38.0,MidtownEast_B,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.1936336921221893,True,0.71,12.585800901511595,292377.45526595216,300561.45526595216,0.9695530815030715,255316.0
546,547,1,547,40586,0.35,1728,1.0,GAINESVILLE,270000,1995,100,1728.0,1964,2025,0,-82.37271869,29.6860167,06104-003-000,0,72.0,0,29,60,0,0,3,1125,114326.04,1,27.0,38.0,MidtownEast_B,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.1936336921221893,True,0.71,12.5476713167266,281439.0872226678,282564.0872226678,1.0465336563802512,228375.0
547,548,1,548,40660,0.48,1871,1.0,GAINESVILLE,348900,1995,100,1871.0,1980,2025,0,-82.38072543,29.67854361,06105-039-000,0,348.0,504,29,44,0,0,2,6780,114326.02,1,27.0,38.0,MidtownEast_B,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.6369833491961454,True,0.71,12.674849005785095,319607.5148146512,326387.5148146512,0.9354758234871058,289785.0
548,549,1,549,40771,0.47,2063,1.0,GAINESVILLE,442500,1995,100,2063.0,1979,2025,0,-82.37694374999998,29.68112964,06106-040-009,0,8.0,477,29,45,0,0,2,5717,114326.02,1,27.0,38.0,MidtownEast_B,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.6028795294212257,True,0.71,12.710624089935468,331248.48740097636,336965.48740097636,0.7615039263298901,370407.99999999994
549,550,1,550,40791,0.36,2576,1.0,GAINESVILLE,500000,2000,100,2576.0,1979,2025,0,-82.37530409999998,29.68021308,06106-040-029,0,408.0,556,24,45,0,0,3,4462,114326.02,1,27.0,38.0,MidtownEast_B,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.227737511897109,True,0.76,12.931936320679197,413303.02544120845,417765.02544120845,0.8355300508824169,420538.0
550,551,1,551,40821,0.52,2155,1.0,GAINESVILLE,395000,1995,100,1975.0,1984,2025,0,-82.37357643,29.68053932,06106-050-001,0,216.0,472,29,40,0,0,2,8817,114326.02,1,27.0,38.0,MidtownEast_B,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.7733986282958243,True,0.71,12.756554294234338,346817.6076028965,355634.6076028965,0.9003407787415102,326933.0
551,552,1,552,40824,0.54,1898,1.0,GAINESVILLE,325000,1995,100,1898.0,1981,2025,0,-82.37389688999998,29.67963711,06106-050-004,0,18.0,441,29,43,0,0,2,7040,114326.02,1,27.0,38.0,MidtownEast_B,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.841606267845664,True,0.71,12.675947897436506,319958.9218881968,326998.9218881968,1.0061505288867594,269210.0
553,554,1,554,54056,0.17,2104,1.1624432,ST. JOHN'S,410000,2009,100,2103.5,2004,2025,0,-82.43319087,29.64382183,06672-100-014,0,375.5,418,15,20,0,0,2,3152,125308.13,1,47.0,62.0,Gainesvilleish_Region,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5797649361736349,True,0.85,12.861564788497319,385218.03918091493,388370.03918091493,0.9472439980022316,345348.0
554,555,1,555,54161,0.56,3566,1.4343298,ST. JOHN'S,890000,2010,100,3086.0,2004,2025,0,-82.43509539999998,29.64078073,06672-300-118,480,268.0,840,14,20,0,0,4,23632,125308.13,2,47.0,62.0,Gainesvilleish_Region,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.9098139073955034,True,0.86,13.45195776995207,695202.0279143933,718834.0279143933,0.8076786830498801,732868.0
555,556,1,556,54179,0.39,2975,1.1624432,ST. JOHN'S,799000,2015,100,2075.0,2004,2025,0,-82.43726873999998,29.64004595,06672-300-136,900,474.0,805,9,20,0,0,4,30684,125308.13,1,47.0,62.0,Gainesvilleish_Region,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.3300489712218684,True,0.91,13.260244854160494,573919.7482755202,604603.7482755202,0.7567005610457074,648466.0
556,557,1,557,54186,0.41,3664,1.4343298,ST. JOHN'S,860000,2012,100,3325.0,2006,2025,0,-82.43569074,29.6392667,06672-300-143,339,515.0,744,12,18,0,0,4,28830,125308.13,2,47.0,62.0,Gainesvilleish_Region,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.3982566107717076,True,0.88,13.465559776974352,704722.7746224746,733552.7746224746,0.8529683425842728,702170.0
557,558,1,558,54252,0.15,2072,1.1624432,ST. JOHN'S,513000,2005,100,2071.5,2005,2025,0,-82.43305798999998,29.6430408,06672-400-264,0,212.5,462,19,19,0,0,2,22647,125308.13,2,47.0,62.0,Gainesvilleish_Region,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5115572966237955,True,0.81,12.802715073628415,363202.2329310953,385849.2329310953,0.7521427542516478,413403.0
558,559,1,559,54580,0.17,1967,1.1624432,GAINESVILLE,355000,2005,100,1967.0,2005,2025,0,-82.41125420999998,29.63793552,06677-100-024,0,419.0,420,19,19,0,0,2,256,125309.1,1,17.0,28.0,Split_Rock,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5797649361736349,True,0.81,12.694400173082059,325917.69954137394,326173.69954137394,0.9187991536376731,301494.0
559,560,1,560,54599,0.18,1759,1.1624432,GAINESVILLE,375900,2005,100,1759.0,2005,2025,0,-82.41225695999998,29.63602139,06677-100-043,0,355.0,400,19,19,0,0,2,725,125309.1,1,17.0,28.0,Split_Rock,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6138687559485545,True,0.81,12.634325067747493,306914.678500176,307639.678500176,0.8184082960898537,318790.0
560,561,1,561,54604,0.2,1817,1.1624432,GAINESVILLE,355000,2014,100,1817.0,2014,2025,0,-82.4123469,29.63652912,06677-200-046,0,286.0,420,10,10,0,0,2,499,125309.1,1,17.0,28.0,Split_Rock,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6820763954983939,True,0.9,12.74782333638477,343802.7381901492,344301.7381901492,0.9698640512398569,301251.0
